 0:
1:
2:
3:
4:
5:
6:
7:
8:
9:
10:
11:
12:
13:
14:
15:
16:
17:
18:
19:
20:
21:
22:
23:
24:
25:
26:
27:
28:
29:
30:
31:
32:
33:
34:
35:
36:
37:
38:
39:
40:
41:
42:
43:
44:
46:s[m]  beta_x[m] alpha_x gamma_x nu_x eta_x etap_x beta_y[m] alpha_y gamma_y nu_y eta_y etap_y
47:
  24.35  6.411130 5.876120 5.541740 1.165398 0.006672 -0.007166 18.407400 -12.232800 8.183780 0.439696 0. 0.
  24.51  4.685920 4.996820 5.541740 1.170005 0.005535 -0.007166 22.495400 -13.531300 8.183780 0.440936 0. 0.
  24.66  3.510760 3.054000 2.941510 1.175875 0.004598 -0.005510 25.480300 -6.264280 1.579310 0.441914 0. 0.
  24.81  2.814540 1.715600 1.401040 1.183449 0.003887 -0.004123 26.092700 2.202950 0.224315 0.442822 0. 0.
  25.31  1.449030 1.014960 1.401040 1.223274 0.001825 -0.004123 23.945400 2.090770 0.224315 0.446006 0. 0.
  25.78  0.868386 0.330458 1.277320 1.292943 0.035263 0.143819 19.968500 3.966520 0.837984 0.449481 0. 0.
  26.26  0.827403 -0.245216 1.281280 1.387728 0.138598 0.288429 16.373300 3.566590 0.837984 0.453682 0. 0.
  26.74  1.329670 -0.799461 1.232740 1.462612 0.309560 0.426702 13.159900 3.166660 0.837984 0.458858 0. 0.
  27.22  2.331280 -1.283840 1.135960 1.506136 0.544394 0.555601 10.328100 2.766730 0.837984 0.465374 0. 0.
  27.75  4.331410 -2.251330 1.401040 1.532928 0.867748 0.607338  6.749930 2.972480 1.457140 0.475530 0. 0.
  27.90  5.056680 -2.466700 1.401040 1.538156 0.961110 0.607338  5.870490 2.748480 1.457140 0.479416 0. 0.
  28.01  5.547560 -2.138140 1.004340 1.541346 1.021180 0.522148  5.352980 2.135740 1.038930 0.482438 0. 0.
  28.11  5.960100 -1.731750 0.670954 1.544284 1.071930 0.432195  4.957030 1.601210 0.718951 0.485728 0. 0.
  28.43  7.112710 -1.942240 0.670954 1.551955 1.207520 0.432195  4.023120 1.375660 0.718951 0.496918 0. 0.
  28.58  7.727440 -2.045670 0.670954 1.555264 1.274140 0.432195  3.616100 1.264830 0.718951 0.503351 0. 0.
  28.69  8.050990 -0.995990 0.247422 1.557395 1.310440 0.252914  3.407090 0.719298 0.445362 0.508164 0. 0.
  28.79  8.145040 0.111837 0.124310 1.559470 1.327550 0.069927  3.308550 0.216172 0.316371 0.513195 0. 0.
  28.94  8.115190 0.093794 0.124310 1.562311 1.337700 0.069927  3.252460 0.170252 0.316371 0.520239 0. 0.
  29.06  8.094160 0.078628 0.124310 1.564708 1.346230 0.069927  3.215630 0.131655 0.316371 0.526244 0. 0.
  29.47  8.050600 0.027693 0.124310 1.572790 1.374880 0.069927  3.160860 0.002024 0.316371 0.546756 0. 0.
  29.69  8.083761 0.000000 0.123705 1.577196 1.386057 0.000000  3.144975 0.000000 0.317968 0.558048 0. 0.
