0:
1:
2:
3:
4:
5:
6:
7:
8:
9:
10:
11:
12:
13:
14:
15:
16:
17:
18:
19:
20:
21:
22:
23:
24:
25:
26:
27:
28:
29:
30:
31:
32:
33:
34:
35:
36:
37:
38:
39:
40:
41:
42:
43:
44:
46:s[m]  beta_x[m] alpha_x gamma_x nu_x eta_x etap_x beta_y[m] alpha_y gamma_y nu_y eta_y etap_y
1.800000  3.636972 -1.15395 0.641086 0.136356 -0.00690369 8.35413e-08  7.122021 -0.271346 0.150748 0.042171 0. 0.
1.900000  3.874174 -1.21806 0.641086 0.140597 -0.00690368 8.35413e-08  7.177798 -0.286421 0.150748 0.044397 0. 0.
2.000000  4.124197 -1.28217 0.641086 0.144579 -0.00690368 8.35413e-08  7.236590 -0.301495 0.150748 0.046605 0. 0.
2.100000  4.387042 -1.34628 0.641086 0.148321 -0.00690367 8.35413e-08  7.298396 -0.31657 0.150748 0.048795 0. 0.
2.200000  4.662709 -1.41039 0.641086 0.151840 -0.00690366 8.35413e-08  7.363218 -0.331645 0.150748 0.050966 0. 0.
2.300000  4.951198 -1.4745 0.641086 0.155153 -0.00690365 8.35413e-08  7.431054 -0.34672 0.150748 0.053118 0. 0.
2.400000  5.252509 -1.53861 0.641086 0.158274 -0.00690364 8.35413e-08  7.501906 -0.361795 0.150748 0.055250 0. 0.
2.500000  5.566641 -1.60272 0.641086 0.161217 -0.00690363 8.35413e-08  7.575772 -0.376869 0.150748 0.057361 0. 0.
2.600000  5.893595 -1.66682 0.641086 0.163996 -0.00690363 8.35413e-08  7.652653 -0.391944 0.150748 0.059451 0. 0.
2.700000  6.233370 -1.73093 0.641086 0.166622 -0.00690362 8.35413e-08  7.732550 -0.407019 0.150748 0.061520 0. 0.
2.800000  6.585967 -1.79504 0.641086 0.169106 -0.00690361 8.35413e-08  7.815461 -0.422094 0.150748 0.063568 0. 0.
2.900000  6.951386 -1.85915 0.641086 0.171459 -0.0069036 8.35413e-08  7.901387 -0.437168 0.150748 0.065593 0. 0.
