0:
1:
2:
3:
4:
5:
6:
7:
8:
9:
10:
11:
12:
13:
14:
15:
16:
17:
18:
19:
20:
21:
22:
23:
24:
25:
26:
27:
28:
29:
30:
31:
32:
33:
34:
35:
36:
37:
38:
39:
40:
41:
42:
43:
44:
46:s[m]  beta_x[m] alpha_x gamma_x nu_x eta_x etap_x beta_y[m] alpha_y gamma_y nu_y eta_y etap_y
7.307900 27.613545 -20.6657 15.502195 0.216659 -0.00604126 -0.00555014 18.699525 15.5772 13.029679 0.132436 0. 0.
7.436250 22.564042 -18.676 15.502195 0.217477 -0.0053289 -0.00555014 22.912837 17.2495 13.029679 0.133423 0. 0.
7.436250 22.564042 -18.676 15.502195 0.217477 -0.0053289 -0.00555014 22.912837 17.2495 13.029679 0.133423 0. 0.
7.564600 18.025297 -16.6863 15.502195 0.218490 -0.00461654 -0.00555014 27.555443 18.9219 13.029679 0.134236 0. 0.
7.966800 10.606116 -3.62206 1.331244 0.223363 -0.00299928 -0.0026979 34.056045 -4.45926 0.613253 0.136220 0. 0.
8.086700  9.756684 -3.46244 1.331244 0.225239 -0.0026758 -0.0026979 32.995532 -4.38573 0.613253 0.136789 0. 0.
8.146700  9.345983 -3.38257 1.331244 0.226239 -0.00251393 -0.0026979 32.471453 -4.34893 0.613253 0.137081 0. 0.
8.274700  8.501856 -3.21217 1.331244 0.228524 -0.0021686 -0.0026979 31.368174 -4.27043 0.613253 0.137719 0. 0.
8.325700  8.177677 -3.14428 1.331244 0.229498 -0.00203101 -0.0026979 30.934184 -4.23916 0.613253 0.137980 0. 0.
8.434700  7.508041 -2.99917 1.331244 0.231712 -0.00173693 -0.0026979 30.017334 -4.17231 0.613253 0.138549 0. 0.
8.504700  7.094680 -2.90598 1.331244 0.233238 -0.00154808 -0.0026979 29.436215 -4.12939 0.613253 0.138924 0. 0.
8.623500  6.423007 -2.74783 1.331244 0.236039 -0.00122757 -0.0026979 28.463728 -4.05653 0.613253 0.139577 0. 0.
8.927900  4.769997 -2.64724 1.678802 0.244768 -0.000397055 -0.00274998 26.577255 -2.18101 0.216606 0.141344 0. 0.
9.033700  4.228633 -2.46962 1.678802 0.248517 -0.000106108 -0.00274998 26.118178 -2.15809 0.216606 0.141983 0. 0.
9.133700  3.751497 -2.30174 1.678802 0.252514 0.00016889 -0.00274998 25.688725 -2.13643 0.216606 0.142598 0. 0.
9.615700  1.922642 -1.49256 1.678802 0.281233 0.00149438 -0.00274998 23.679528 -2.03203 0.216606 0.145708 0. 0.
10.570150  0.651537 0.0173741 1.535296 0.440049 0.144721 -0.295026 16.248590 -3.50301 0.816753 0.153456 0. 0.
11.524600  1.985148 1.52731 1.678802 0.595021 0.556443 -0.614263 10.305735 -3.70293 1.427525 0.165205 0. 0.
11.995600  3.796300 2.31802 1.678802 0.622463 0.845761 -0.614263  7.134258 -3.03057 1.427525 0.173952 0. 0.
12.113600  4.366729 2.51612 1.678802 0.627076 0.918244 -0.614263  6.438922 -2.86212 1.427525 0.176723 0. 0.
12.208322  4.858456 2.67514 1.678802 0.630350 0.976428 -0.614263  5.909519 -2.7269 1.427525 0.179167 0. 0.
12.420878  5.867902 2.016 0.863042 0.636649 1.08843 -0.436379  5.005544 -1.57761 0.696999 0.185427 0. 0.
12.677600  6.959883 2.23756 0.863042 0.643044 1.20046 -0.436379  4.241466 -1.39868 0.696999 0.194299 0. 0.
12.791600  7.481263 2.33595 0.863042 0.645558 1.2502 -0.436379  3.931626 -1.31922 0.696999 0.198742 0. 0.
12.888746  7.943266 2.41979 0.863042 0.647564 1.2926 -0.436379  3.681889 -1.25151 0.696999 0.202806 0. 0.
13.100454  8.509179 0.200827 0.122260 0.651623 1.34635 -0.0689215  3.383139 -0.18713 0.305934 0.212453 0. 0.
13.774600  8.835517 0.283248 0.122260 0.664010 1.39281 -0.0689215  3.269872 0.0191146 0.305934 0.244937 0. 0.
13.774600  8.835517 0.283248 0.122260 0.664010 1.39281 -0.0689215  3.269872 0.0191146 0.305934 0.244937 0. 0.
13.774600  8.835517 0.283248 0.122260 0.664010 1.39281 -0.0689215  3.269872 0.0191146 0.305934 0.244937 0. 0.
13.998050  9.011604 0.310478 0.121665 0.667992 1.4038 0.00100873  3.261800 0.0161994 0.306660 0.255835 0. 0.
14.221500  9.112121 0.337709 0.122260 0.671914 1.39236 0.0709439  3.284351 0.0129678 0.304525 0.266709 0. 0.
14.650500  9.424376 0.390158 0.122260 0.679285 1.36193 0.0709439  3.351522 0.143609 0.304525 0.287346 0. 0.
14.650500  9.424376 0.390158 0.122260 0.679285 1.36193 0.0709439  3.351522 0.143609 0.304525 0.287346 0. 0.
14.720500  9.479598 0.398716 0.122260 0.680463 1.35696 0.0709439  3.373120 0.164926 0.304525 0.290660 0. 0.
14.780500  9.527884 0.406052 0.122260 0.681468 1.3527 0.0709439  3.394007 0.183197 0.304525 0.293482 0. 0.
14.895646  9.623016 0.42013 0.122260 0.683382 1.34453 0.0709439  3.440234 0.218262 0.304525 0.298846 0. 0.
15.107353  9.245780 -2.16702 0.616062 0.686920 1.29041 0.437844  3.756039 1.3025 0.717915 0.308317 0. 0.
15.204500  8.830558 -2.10717 0.616062 0.688631 1.24788 0.437844  4.015882 1.37225 0.717915 0.312298 0. 0.
15.318500  8.358129 -2.03694 0.616062 0.690743 1.19796 0.437844  4.338084 1.45409 0.717915 0.316646 0. 0.
15.575222  7.352877 -1.87878 0.616062 0.695956 1.08556 0.437844  5.131992 1.63839 0.717915 0.325310 0. 0.
15.787778  6.335769 -2.84797 1.438015 0.700883 0.9733 0.615212  6.068070 2.81898 1.474384 0.331410 0. 0.
15.882500  5.809140 -2.71176 1.438015 0.703368 0.915026 0.615212  6.615338 2.95864 1.474384 0.333790 0. 0.
16.000500  5.189188 -2.54207 1.438015 0.706789 0.842431 0.615212  7.334106 3.13262 1.474384 0.336486 0. 0.
16.471500  3.113567 -1.86477 1.438015 0.725481 0.552666 0.615212 10.612111 3.82705 1.474384 0.344987 0. 0.
17.425950  1.008673 -0.5714 1.315091 0.814518 0.139879 0.295933 16.760034 3.62286 0.842786 0.356387 0. 0.
18.380400  1.057873 0.721968 1.438015 0.996662 -0.00398907 0.00369881 24.443472 2.10412 0.222036 0.363895 0. 0.
18.878070  2.132638 1.43762 1.438015 1.050411 -0.00582985 0.00369881 26.592780 2.21462 0.222036 0.367002 0. 0.
19.174730  3.678671 4.1078 4.858834 1.067855 -0.00753999 0.00801696 22.910157 -13.8118 8.370363 0.368853 0. 0.
19.283400  4.628840 4.63581 4.858834 1.072047 -0.00841119 0.00801696 20.007143 -12.9022 8.370363 0.369661 0. 0.
19.383400  5.604591 5.1217 4.858834 1.075172 -0.00921289 0.00801696 17.510405 -12.0652 8.370363 0.370511 0. 0.
19.487355  6.721951 5.6268 4.858834 1.077868 -0.0100463 0.00801696 15.092390 -11.195 8.370363 0.371529 0. 0.
19.793445  8.573891 -0.0681918 0.117176 1.084033 -0.0112222 -0.000487839 11.857518 -0.205183 0.087885 0.375319 0. 0.
19.900400  8.560645 -0.0556593 0.117176 1.086020 -0.01117 -0.000487839 11.814632 -0.195784 0.087885 0.376757 0. 0.
20.000400  8.550685 -0.0439418 0.117176 1.087880 -0.0111212 -0.000487839 11.776355 -0.186995 0.087885 0.378106 0. 0.
20.000400  8.550685 -0.0439418 0.117176 1.087880 -0.0111212 -0.000487839 11.776355 -0.186995 0.087885 0.378106 0. 0.
20.117400  8.542006 -0.0302323 0.117176 1.090059 -0.0110641 -0.000487839 11.733801 -0.176712 0.087885 0.379690 0. 0.
20.177400  8.538800 -0.0232017 0.117176 1.091177 -0.0110349 -0.000487839 11.712912 -0.171439 0.087885 0.380505 0. 0.
20.259900  8.535769 -0.0135347 0.117176 1.092715 -0.0109946 -0.000487839 11.685222 -0.164189 0.087885 0.381627 0. 0.
20.259900  8.535769 -0.0135347 0.117176 1.092715 -0.0109946 -0.000487839 11.685222 -0.164189 0.087885 0.381627 0. 0.
20.490400  8.535756 0.0134742 0.117176 1.097013 -0.0108822 -0.000487839 11.614201 -0.143931 0.087885 0.384776 0. 0.
21.840400  8.785688 0.171661 0.117176 1.121926 -0.0102236 -0.000487839 11.385757 -0.0252863 0.087885 0.403504 0. 0.
21.840400  8.785688 0.171661 0.117176 1.121926 -0.0102236 -0.000487839 11.385757 -0.0252863 0.087885 0.403504 0. 0.
23.190400  9.462726 0.329848 0.117176 1.145578 -0.00956502 -0.000487839 11.477655 0.0933588 0.087885 0.422343 0. 0.
23.420900  9.621011 0.356857 0.117176 1.149423 -0.00945257 -0.000487839 11.525363 0.113616 0.087885 0.425533 0. 0.
23.420900  9.621011 0.356857 0.117176 1.149423 -0.00945257 -0.000487839 11.525363 0.113616 0.087885 0.425533 0. 0.
23.503400  9.680690 0.366524 0.117176 1.150783 -0.00941232 -0.000487839 11.544708 0.120867 0.087885 0.426671 0. 0.
23.563400  9.725095 0.373555 0.117176 1.151767 -0.00938305 -0.000487839 11.559528 0.12614 0.087885 0.427498 0. 0.
23.680400  9.814111 0.387264 0.117176 1.153674 -0.00932597 -0.000487839 11.590248 0.136422 0.087885 0.429107 0. 0.
23.680400  9.814111 0.387264 0.117176 1.153674 -0.00932597 -0.000487839 11.590248 0.136422 0.087885 0.429107 0. 0.
23.780400  9.892735 0.398982 0.117176 1.155289 -0.00927719 -0.000487839 11.618411 0.145211 0.087885 0.430478 0. 0.
23.887355  9.979422 0.411514 0.117176 1.157002 -0.00922501 -0.000487839 11.650479 0.154611 0.087885 0.431941 0. 0.
24.193445  7.994569 -6.36906 5.199139 1.162242 -0.00799707 -0.00737457 14.795431 10.9287 8.140135 0.435802 0. 0.
24.297400  6.726564 -5.82858 5.199139 1.164498 -0.00723044 -0.00737457 17.155588 11.7749 8.140135 0.436841 0. 0.
24.397400  5.612839 -5.30867 5.199139 1.167088 -0.00649299 -0.00737457 19.591973 12.5889 8.140135 0.437709 0. 0.
24.506070  4.520451 -4.74368 5.199139 1.170522 -0.00569159 -0.00737457 22.424181 13.4735 8.140135 0.438534 0. 0.
24.802730  2.753004 -1.59593 1.288412 1.184362 -0.00399536 -0.00424591 26.000816 -2.2101 0.226322 0.440427 0. 0.
25.300400  1.483616 -0.95473 1.288412 1.223961 -0.0018823 -0.00424591 23.857068 -2.09747 0.226322 0.443607 0. 0.
26.254850  0.884045 0.204083 1.178277 1.377317 0.142597 -0.296457 16.290644 -3.56265 0.840511 0.451315 0. 0.
27.209300  2.217836 1.3629 1.288412 1.494530 0.555757 -0.615759 10.255589 -3.73513 1.457856 0.463078 0. 0.
27.680300  3.787507 1.96974 1.288412 1.520509 0.845779 -0.615759  7.060512 -3.04848 1.457856 0.471892 0. 0.
27.798300  4.270305 2.12177 1.288412 1.525180 0.918439 -0.615759  6.361371 -2.87645 1.457856 0.474695 0. 0.
27.893022  4.683822 2.24381 1.288412 1.528551 0.976765 -0.615759  5.829525 -2.73836 1.457856 0.477170 0. 0.
28.105578  5.503210 1.56408 0.626243 1.535175 1.08908 -0.43779  4.918991 -1.59739 0.722028 0.483528 0. 0.
28.362300  6.347551 1.72485 0.626243 1.542091 1.20147 -0.43779  4.146407 -1.41203 0.722028 0.492580 0. 0.
28.476300  6.748955 1.79624 0.626243 1.544863 1.25137 -0.43779  3.833848 -1.32972 0.722028 0.497131 0. 0.
28.573446  7.103863 1.85708 0.626243 1.547096 1.2939 -0.43779  3.582308 -1.25957 0.722028 0.501304 0. 0.
28.785153  7.478612 -0.121701 0.135695 1.551674 1.34791 -0.0699327  3.275193 -0.219342 0.320015 0.511244 0. 0.
29.459300  7.376194 -0.0302226 0.135695 1.566140 1.39506 -0.0699327  3.124895 -0.00360485 0.320015 0.545035 0. 0.
29.459300  7.376194 -0.0302226 0.135695 1.566140 1.39506 -0.0699327  3.124895 -0.00360485 0.320015 0.545035 0. 0.
29.459300  7.376194 -0.0302226 0.135695 1.566140 1.39506 -0.0699327  3.124895 -0.00360485 0.320015 0.545035 0. 0.
29.682750  7.405497 7.29309e-09 0.135035 1.570949 1.40628 -5.826e-08  3.108834 -7.28331e-15 0.321664 0.556455 0. 0.
29.906200  7.376194 0.0302227 0.135695 1.575757 1.39506 0.0699326  3.124895 0.00360485 0.320015 0.567874 0. 0.
30.335200  7.427098 0.0884359 0.135695 1.584987 1.36506 0.0699326  3.186883 0.140891 0.320015 0.589578 0. 0.
30.335200  7.427098 0.0884359 0.135695 1.584987 1.36506 0.0699326  3.186883 0.140891 0.320015 0.589578 0. 0.
30.405200  7.440144 0.0979345 0.135695 1.586486 1.36016 0.0699326  3.208176 0.163292 0.320015 0.593062 0. 0.
30.465200  7.452385 0.106076 0.135695 1.587768 1.35596 0.0699326  3.228923 0.182493 0.320015 0.596029 0. 0.
30.580346  7.478612 0.121701 0.135695 1.590223 1.34791 0.0699326  3.275193 0.219342 0.320015 0.601666 0. 0.
30.792053  7.103863 -1.85708 0.626243 1.594802 1.2939 0.43779  3.582308 1.25957 0.722028 0.611606 0. 0.
30.889200  6.748955 -1.79624 0.626243 1.597035 1.25137 0.43779  3.833848 1.32972 0.722028 0.615778 0. 0.
31.003200  6.347551 -1.72485 0.626243 1.599807 1.20147 0.43779  4.146407 1.41203 0.722028 0.620329 0. 0.
31.259922  5.503210 -1.56408 0.626243 1.606722 1.08908 0.43779  4.918991 1.59739 0.722028 0.629381 0. 0.
31.472478  4.683822 -2.24381 1.288412 1.613347 0.976765 0.615759  5.829525 2.73836 1.457856 0.635739 0. 0.
31.567200  4.270306 -2.12177 1.288412 1.616718 0.918439 0.615759  6.361371 2.87645 1.457856 0.638215 0. 0.
31.685200  3.787507 -1.96974 1.288412 1.621388 0.84578 0.615759  7.060512 3.04848 1.457856 0.641017 0. 0.
32.156200  2.217836 -1.3629 1.288412 1.647368 0.555757 0.615759 10.255589 3.73513 1.457856 0.649831 0. 0.
33.110650  0.884045 -0.204083 1.178277 1.764581 0.142597 0.296457 16.290644 3.56265 0.840511 0.661594 0. 0.
34.065100  1.483616 0.95473 1.288412 1.917936 -0.00188198 0.00424585 23.857068 2.09747 0.226322 0.669302 0. 0.
34.562770  2.753004 1.59593 1.288412 1.957536 -0.00399502 0.00424585 26.000816 2.2101 0.226322 0.672483 0. 0.
34.859430  4.520451 4.74368 5.199139 1.971376 -0.0056912 0.00737428 22.424181 -13.4735 8.140135 0.674375 0. 0.
34.968100  5.612839 5.30867 5.199139 1.974809 -0.00649256 0.00737428 19.591973 -12.5889 8.140135 0.675200 0. 0.
