@ NAME             %08s "MY_MODEL"
@ TYPE             %05s "TWISS"
@ SEQUENCE         %05s "HALF2"
@ PARTICLE         %08s "ELECTRON"
@ MASS             %le      0.000510998928
@ CHARGE           %le                  -1
@ ENERGY           %le                   1
@ PC               %le        0.9999998694
@ GAMMA            %le         1956.951268
@ KBUNCH           %le                   1
@ BCURRENT         %le               0.004
@ SIGE             %le              0.0004
@ SIGT             %le                   0
@ NPART            %le          4943825122
@ EX               %le               4e-08
@ EY               %le             2.5e-09
@ ET               %le                   1
@ LENGTH           %le             59.3655
@ ALFA             %le      0.001349613382
@ ORBIT5           %le                  -0
@ GAMMATR          %le         27.22045072
@ Q1               %le         3.141897484
@ Q2               %le         1.112909321
@ DQ1              %le        -1.770220824
@ DQ2              %le         1.375102477
@ DXMAX            %le          1.40616316
@ DYMAX            %le                  -0
@ XCOMAX           %le                   0
@ YCOMAX           %le                   0
@ BETXMAX          %le         33.00448886
@ BETYMAX          %le         34.05604526
@ XCORMS           %le                   0
@ YCORMS           %le                   0
@ DXRMS            %le        0.5942542544
@ DYRMS            %le                   0
@ DELTAP           %le                   0
@ SYNCH_1          %le                   0
@ SYNCH_2          %le                   0
@ SYNCH_3          %le                   0
@ SYNCH_4          %le                   0
@ SYNCH_5          %le                   0
@ TITLE            %01s "s"
@ ORIGIN           %23s "MAD-X 5.02.00 Darwin 64"
@ DATE             %08s "23/10/14"
@ TIME             %08s "17.04.42"
* NAME                                S               BETX               BETY                 DX                DPX               ALFX               ALFY                MUX                MUY 
$ %s                                %le                %le                %le                %le                %le                %le                %le                %le                %le 
 "DID10"                            3.9        11.31077125        8.926471785    -0.006903517813    8.354131379e-08       -2.500235416      -0.5879161807       0.1894456962      0.08458877608
 "DID10"                              4         11.8172292        9.045562498    -0.006903509458    8.354131379e-08       -2.564344017      -0.6029909545         0.19082234      0.08635999152
 "DID10"                            4.1        12.33650886        9.167668166    -0.006903501104    8.354131379e-08       -2.628452617      -0.6180657284       0.1921405091      0.08810775085
 "DID10"                            4.2        12.86861024        9.292788789     -0.00690349275    8.354131379e-08       -2.692561217      -0.6331405023       0.1934036818      0.08983210375
 "DID10"                            4.3        13.41353335        9.420924367    -0.006903484396    8.354131379e-08       -2.756669818      -0.6482152761         0.19461508      0.09153312057
 "DID10"                            4.4        13.97127817          9.5520749    -0.006903476042    8.354131379e-08       -2.820778418        -0.66329005       0.1957776907      0.09321089109
 "DID10"                            4.5        14.54184471        9.686240387    -0.006903467688    8.354131379e-08       -2.884887018      -0.6783648238       0.1968942862      0.09486552329
 "DID10"                            4.6        15.12523298        9.823420829    -0.006903459334    8.354131379e-08       -2.948995618      -0.6934395977       0.1979674417      0.09649714225
 "DID10"                            4.7        15.72144296        9.963616226     -0.00690345098    8.354131379e-08       -3.013104219      -0.7085143716       0.1989995515      0.09810588891
 "DID10"                            4.8        16.33047467        10.10682658    -0.006903442625    8.354131379e-08       -3.077212819      -0.7235891454       0.1999928445      0.09969191898
 "DID10"                            4.9        16.95232809        10.25305188    -0.006903434271    8.354131379e-08       -3.141321419      -0.7386639193       0.2009493967       0.1012554019
 "DID10"                              5        17.58700323        10.40229215    -0.006903425917    8.354131379e-08        -3.20543002      -0.7537386932       0.2018711442       0.1027965196
 "DID10"                            5.1         18.2345001        10.55454736    -0.006903417563    8.354131379e-08        -3.26953862       -0.768813467        0.202759894       0.1043154658
 "DID10"                            5.2        18.89481868        10.70981753    -0.006903409209    8.354131379e-08        -3.33364722      -0.7838882409       0.2036173344       0.1058124448
 "DID10"                            5.3        19.56795899        10.86810266    -0.006903400855    8.354131379e-08       -3.397755821      -0.7989630147       0.2044450439       0.1072876704
 "DID10"                            5.4        20.25392101        11.02940274    -0.006903392501    8.354131379e-08       -3.461864421      -0.8140377886       0.2052445001       0.1087413654
 "DID10"                            5.5        20.95270475        11.19371777    -0.006903384146    8.354131379e-08       -3.525973021      -0.8291125625       0.2060170868       0.1101737605
 "DID10"                            5.6        21.66431022        11.36104776    -0.006903375792    8.354131379e-08       -3.590081622      -0.8441873363       0.2067641016       0.1115850934
 "DID10"                            5.7         22.3887374        11.53139271    -0.006903367438    8.354131379e-08       -3.654190222      -0.8592621102       0.2074867623       0.1129756081
 "DID10"                            5.8        23.12598631        11.70475261    -0.006903359084    8.354131379e-08       -3.718298822      -0.8743368841       0.2081862121       0.1143455542
 "DID10"                            5.9        23.87605693        11.88112746     -0.00690335073    8.354131379e-08       -3.782407423      -0.8894116579       0.2088635261       0.1156951863
 "DID10"                              6        24.63894928        12.06051727    -0.006903342376    8.354131379e-08       -3.846516023      -0.9044864318       0.2095197151       0.1170247629
 "DID10"                            6.1        25.41466334        12.24292203    -0.006903334022    8.354131379e-08       -3.910624623      -0.9195612057       0.2101557311       0.1183345465
 "DID10"                            6.2        26.20319913        12.42834175    -0.006903325668    8.354131379e-08       -3.974733224      -0.9346359795       0.2107724707       0.1196248021
 "DID10"                            6.3        27.00455663        12.61677643    -0.006903317313    8.354131379e-08       -4.038841824      -0.9497107534       0.2113707796       0.1208957974
